Date,Forecast,Lower Bound,Upper Bound
2016-01-01,2357.4916264587932,1566.7123304616698,3148.2709224559167
2016-01-02,2291.8109405949976,1495.3263364293139,3088.2955447606814
2016-01-03,2284.08688004388,1487.4935707622167,3080.680189325543
2016-01-04,2283.1785291243864,1486.580178257593,3079.77687999118
2016-01-05,2283.071706891769,1486.4728701853355,3079.670543598202
2016-01-06,2283.0591445778696,1486.460252207231,3079.658036948508
2016-01-07,2283.0576672474804,1486.4587683411892,3079.6565661537716
2016-01-08,2283.057493513159,1486.4585938285484,3079.65639319777
2016-01-09,2283.0574730819712,1486.4585732958253,3079.656372868117
2016-01-10,2283.05747067926,1486.4585708711652,3079.6563704873547
2016-01-11,2283.057470396701,1486.4585705760164,3079.6563702173853
2016-01-12,2283.057470363472,1486.4585705312984,3079.6563701956456
2016-01-13,2283.0574703595644,1486.4585705160312,3079.6563702030976
2016-01-14,2283.0574703591046,1486.4585705042268,3079.6563702139824
2016-01-15,2283.0574703590505,1486.4585704928302,3079.6563702252706
2016-01-16,2283.057470359044,1486.4585704814813,3079.656370236607
2016-01-17,2283.0574703590432,1486.4585704701378,3079.656370247949
2016-01-18,2283.0574703590432,1486.4585704587953,3079.656370259291
2016-01-19,2283.0574703590432,1486.458570447453,3079.6563702706335
2016-01-20,2283.0574703590432,1486.4585704361102,3079.6563702819763
2016-01-21,2283.0574703590432,1486.458570424768,3079.6563702933186
2016-01-22,2283.0574703590432,1486.4585704134252,3079.6563703046613
2016-01-23,2283.0574703590432,1486.4585704020828,3079.6563703160036
2016-01-24,2283.0574703590432,1486.4585703907403,3079.656370327346
2016-01-25,2283.0574703590432,1486.4585703793978,3079.6563703386887
2016-01-26,2283.0574703590432,1486.4585703680552,3079.6563703500315
2016-01-27,2283.0574703590432,1486.4585703567127,3079.656370361374
2016-01-28,2283.0574703590432,1486.45857034537,3079.6563703727165
2016-01-29,2283.0574703590432,1486.4585703340276,3079.656370384059
2016-01-30,2283.0574703590432,1486.458570322685,3079.6563703954016
2016-01-31,2283.0574703590432,1486.4585703113426,3079.656370406744
2016-02-01,2283.0574703590432,1486.4585703,3079.656370418086
2016-02-02,2283.0574703590432,1486.4585702886575,3079.656370429429
2016-02-03,2283.0574703590432,1486.4585702773152,3079.6563704407713
2016-02-04,2283.0574703590432,1486.4585702659724,3079.656370452114
2016-02-05,2283.0574703590432,1486.45857025463,3079.6563704634564
2016-02-06,2283.0574703590432,1486.4585702432873,3079.656370474799
2016-02-07,2283.0574703590432,1486.458570231945,3079.6563704861414
2016-02-08,2283.0574703590432,1486.4585702206025,3079.656370497484
2016-02-09,2283.0574703590432,1486.45857020926,3079.6563705088265
2016-02-10,2283.0574703590432,1486.4585701979174,3079.656370520169
2016-02-11,2283.0574703590432,1486.458570186575,3079.6563705315116
2016-02-12,2283.0574703590432,1486.4585701752324,3079.6563705428543
2016-02-13,2283.0574703590432,1486.4585701638898,3079.6563705541967
2016-02-14,2283.0574703590432,1486.4585701525475,3079.656370565539
2016-02-15,2283.0574703590432,1486.4585701412047,3079.6563705768817
2016-02-16,2283.0574703590432,1486.4585701298624,3079.656370588224
2016-02-17,2283.0574703590432,1486.4585701185197,3079.656370599567
2016-02-18,2283.0574703590432,1486.4585701071774,3079.656370610909
2016-02-19,2283.0574703590432,1486.4585700958348,3079.6563706222514
2016-02-20,2283.0574703590432,1486.4585700844923,3079.656370633594
2016-02-21,2283.0574703590432,1486.4585700731498,3079.656370644937
2016-02-22,2283.0574703590432,1486.4585700618072,3079.6563706562793
2016-02-23,2283.0574703590432,1486.4585700504647,3079.6563706676216
2016-02-24,2283.0574703590432,1486.4585700391222,3079.6563706789643
2016-02-25,2283.0574703590432,1486.4585700277798,3079.6563706903066
2016-02-26,2283.0574703590432,1486.458570016437,3079.6563707016494
2016-02-27,2283.0574703590432,1486.4585700050948,3079.6563707129917
2016-02-28,2283.0574703590432,1486.458569993752,3079.6563707243345
2016-02-29,2283.0574703590432,1486.4585699824097,3079.656370735677
2016-03-01,2283.0574703590432,1486.4585699710672,3079.6563707470195
2016-03-02,2283.0574703590432,1486.4585699597246,3079.656370758362
2016-03-03,2283.0574703590432,1486.458569948382,3079.656370769704
2016-03-04,2283.0574703590432,1486.4585699370396,3079.656370781047
2016-03-05,2283.0574703590432,1486.4585699256972,3079.656370792389
2016-03-06,2283.0574703590432,1486.4585699143545,3079.656370803732
2016-03-07,2283.0574703590432,1486.4585699030122,3079.6563708150743
2016-03-08,2283.0574703590432,1486.4585698916694,3079.656370826417
2016-03-09,2283.0574703590432,1486.458569880327,3079.6563708377594
2016-03-10,2283.0574703590432,1486.4585698689846,3079.656370849102
2016-03-11,2283.0574703590432,1486.458569857642,3079.6563708604444
2016-03-12,2283.0574703590432,1486.4585698462995,3079.6563708717867
2016-03-13,2283.0574703590432,1486.458569834957,3079.6563708831295
2016-03-14,2283.0574703590432,1486.4585698236144,3079.6563708944723
2016-03-15,2283.0574703590432,1486.458569812272,3079.6563709058146
2016-03-16,2283.0574703590432,1486.4585698009296,3079.656370917157
2016-03-17,2283.0574703590432,1486.4585697895868,3079.6563709284997
2016-03-18,2283.0574703590432,1486.4585697782445,3079.656370939842
2016-03-19,2283.0574703590432,1486.4585697669017,3079.6563709511847
2016-03-20,2283.0574703590432,1486.4585697555594,3079.656370962527
2016-03-21,2283.0574703590432,1486.458569744217,3079.6563709738693
2016-03-22,2283.0574703590432,1486.4585697328744,3079.656370985212
2016-03-23,2283.0574703590432,1486.4585697215318,3079.656370996555
